embedding,embedding_size,regressor,hyperparams,accuracy_mean,accuracy_min,accuracy_max,accuracy_std,tpr_mean,tpr_min,tpr_max,tpr_std,tnr_mean,tnr_min,tnr_max,tnr_std,precision_mean,precision_min,precision_max,precision_std,recall_mean,recall_min,recall_max,recall_std,g_mean_mean,g_mean_min,g_mean_max,g_mean_std,tn_mean,tn_min,tn_max,tn_std,fp_mean,fp_min,fp_max,fp_std,fn_mean,fn_min,fn_max,fn_std,tp_mean,tp_min,tp_max,tp_std
lml6,384,mlp,num_layers-3_dropout-0.1,0.9820,0.9812,0.9831,0.0007,0.9858,0.9840,0.9874,0.0014,0.9782,0.9750,0.9800,0.0019,0.9784,0.9753,0.9801,0.0019,0.9858,0.9840,0.9874,0.0014,0.9820,0.9812,0.9831,0.0007,4891.2000,4875,4900,9.7314,108.8000,100,125,9.7314,71.2000,63,80,6.7602,4928.8000,4920,4937,6.7602
lml6,384,mlp,num_layers-3_dropout-0.2,0.9816,0.9797,0.9827,0.0012,0.9862,0.9854,0.9874,0.0008,0.9769,0.9728,0.9790,0.0025,0.9771,0.9732,0.9791,0.0024,0.9862,0.9854,0.9874,0.0008,0.9815,0.9797,0.9827,0.0012,4884.4000,4864,4895,12.5419,115.6000,105,136,12.5419,68.8000,63,73,3.8987,4931.2000,4927,4937,3.8987
lml6,384,mlp,num_layers-3_dropout-0.3,0.9808,0.9794,0.9819,0.0010,0.9854,0.9846,0.9866,0.0008,0.9762,0.9730,0.9790,0.0022,0.9764,0.9733,0.9791,0.0021,0.9854,0.9846,0.9866,0.0008,0.9808,0.9794,0.9819,0.0010,4880.8000,4865,4895,10.8259,119.2000,105,135,10.8259,73.0000,67,77,4.0620,4927.0000,4923,4933,4.0620
lml6,384,naive_bayes,none-e,0.9230,0.9230,0.9230,,0.9890,0.9890,0.9890,,0.8570,0.8570,0.8570,,0.8737,0.8737,0.8737,,0.9890,0.9890,0.9890,,0.9206,0.9206,0.9206,,4285.0000,4285,4285,,715.0000,715,715,,55.0000,55,55,,4945.0000,4945,4945,
lml6,384,naive_bayes,none-n,0.9230,0.9230,0.9230,0.0000,0.9890,0.9890,0.9890,0.0000,0.8570,0.8570,0.8570,0.0000,0.8737,0.8737,0.8737,0.0000,0.9890,0.9890,0.9890,0.0000,0.9206,0.9206,0.9206,0.0000,4285.0000,4285,4285,0.0000,715.0000,715,715,0.0000,55.0000,55,55,0.0000,4945.0000,4945,4945,0.0000
lml6,384,naive_bayes,none-o,0.9230,0.9230,0.9230,,0.9890,0.9890,0.9890,,0.8570,0.8570,0.8570,,0.8737,0.8737,0.8737,,0.9890,0.9890,0.9890,,0.9206,0.9206,0.9206,,4285.0000,4285,4285,,715.0000,715,715,,55.0000,55,55,,4945.0000,4945,4945,
lml6,384,random_forest,n_estimators-100,0.9627,0.9614,0.9640,0.0009,0.9798,0.9788,0.9812,0.0010,0.9456,0.9440,0.9486,0.0018,0.9474,0.9459,0.9501,0.0017,0.9798,0.9788,0.9812,0.0010,0.9625,0.9612,0.9639,0.0010,4727.8000,4720,4743,9.0940,272.2000,257,280,9.0940,101.0000,94,106,5.2440,4899.0000,4894,4906,5.2440
lml6,384,random_forest,n_estimators-200,0.9634,0.9623,0.9640,0.0007,0.9808,0.9798,0.9822,0.0010,0.9460,0.9444,0.9476,0.0011,0.9478,0.9463,0.9493,0.0010,0.9808,0.9798,0.9822,0.0010,0.9633,0.9621,0.9639,0.0008,4730.0000,4722,4738,5.7009,270.0000,262,278,5.7009,95.8000,89,101,5.0695,4904.2000,4899,4911,5.0695
lml6,384,random_forest,n_estimators-80,0.9620,0.9613,0.9624,0.0005,0.9783,0.9766,0.9804,0.0015,0.9456,0.9444,0.9474,0.0013,0.9474,0.9463,0.9489,0.0011,0.9783,0.9766,0.9804,0.0015,0.9618,0.9612,0.9623,0.0004,4728.2000,4722,4737,6.3403,271.8000,263,278,6.3403,108.4000,98,117,7.7330,4891.6000,4883,4902,7.7330
lml6,384,svm,kernel-linear,0.9759,0.9759,0.9759,,0.9826,0.9826,0.9826,,0.9692,0.9692,0.9692,,0.9696,0.9696,0.9696,,0.9826,0.9826,0.9826,,0.9759,0.9759,0.9759,,4846.0000,4846,4846,,154.0000,154,154,,87.0000,87,87,,4913.0000,4913,4913,
lml6,384,svm,kernel-poly,0.9883,0.9883,0.9883,,0.9926,0.9926,0.9926,,0.9840,0.9840,0.9840,,0.9841,0.9841,0.9841,,0.9926,0.9926,0.9926,,0.9883,0.9883,0.9883,,4920.0000,4920,4920,,80.0000,80,80,,37.0000,37,37,,4963.0000,4963,4963,
lml6,384,svm,kernel-rbf,0.9862,0.9862,0.9862,,0.9900,0.9900,0.9900,,0.9824,0.9824,0.9824,,0.9825,0.9825,0.9825,,0.9900,0.9900,0.9900,,0.9862,0.9862,0.9862,,4912.0000,4912,4912,,88.0000,88,88,,50.0000,50,50,,4950.0000,4950,4950,
lml6,384,svm,kernel-sigmoid,0.9572,0.9572,0.9572,,0.9592,0.9592,0.9592,,0.9552,0.9552,0.9552,,0.9554,0.9554,0.9554,,0.9592,0.9592,0.9592,,0.9572,0.9572,0.9572,,4776.0000,4776,4776,,224.0000,224,224,,204.0000,204,204,,4796.0000,4796,4796,
mpnet,768,logistic_regression,max_iter-100,0.9731,0.9731,0.9731,,0.9760,0.9760,0.9760,,0.9702,0.9702,0.9702,,0.9704,0.9704,0.9704,,0.9760,0.9760,0.9760,,0.9731,0.9731,0.9731,,4851.0000,4851,4851,,149.0000,149,149,,120.0000,120,120,,4880.0000,4880,4880,
mpnet,768,logistic_regression,max_iter-50,0.9731,0.9731,0.9731,,0.9760,0.9760,0.9760,,0.9702,0.9702,0.9702,,0.9704,0.9704,0.9704,,0.9760,0.9760,0.9760,,0.9731,0.9731,0.9731,,4851.0000,4851,4851,,149.0000,149,149,,120.0000,120,120,,4880.0000,4880,4880,
mpnet,768,logistic_regression,max_iter-500,0.9731,0.9731,0.9731,,0.9760,0.9760,0.9760,,0.9702,0.9702,0.9702,,0.9704,0.9704,0.9704,,0.9760,0.9760,0.9760,,0.9731,0.9731,0.9731,,4851.0000,4851,4851,,149.0000,149,149,,120.0000,120,120,,4880.0000,4880,4880,
mpnet,768,mlp,num_layers-2_dropout-0.1,0.9786,0.9782,0.9791,0.0004,0.9784,0.9764,0.9796,0.0013,0.9787,0.9768,0.9802,0.0014,0.9787,0.9769,0.9801,0.0013,0.9784,0.9764,0.9796,0.0013,0.9786,0.9782,0.9791,0.0004,4893.6000,4884,4901,6.9498,106.4000,99,116,6.9498,108.0000,102,118,6.2849,4892.0000,4882,4898,6.2849
mpnet,768,mlp,num_layers-2_dropout-0.2,0.9784,0.9780,0.9791,0.0004,0.9784,0.9766,0.9796,0.0011,0.9785,0.9770,0.9800,0.0011,0.9785,0.9770,0.9799,0.0010,0.9784,0.9766,0.9796,0.0011,0.9784,0.9780,0.9791,0.0004,4892.6000,4885,4900,5.4129,107.4000,100,115,5.4129,108.2000,102,117,5.6303,4891.8000,4883,4898,5.6303
mpnet,768,mlp,num_layers-2_dropout-0.3,0.9781,0.9773,0.9786,0.0006,0.9784,0.9770,0.9792,0.0009,0.9778,0.9754,0.9794,0.0015,0.9778,0.9755,0.9794,0.0015,0.9784,0.9770,0.9792,0.0009,0.9781,0.9773,0.9786,0.0006,4888.8000,4877,4897,7.6942,111.2000,103,123,7.6942,107.8000,104,115,4.3243,4892.2000,4885,4896,4.3243
mpnet,768,mlp,num_layers-3_dropout-0.1,0.9841,0.9834,0.9849,0.0006,0.9848,0.9830,0.9870,0.0016,0.9834,0.9816,0.9848,0.0012,0.9834,0.9817,0.9848,0.0012,0.9848,0.9830,0.9870,0.0016,0.9841,0.9834,0.9849,0.0006,4917.0000,4908,4924,6.1644,83.0000,76,92,6.1644,76.0000,65,85,7.9373,4924.0000,4915,4935,7.9373
mpnet,768,mlp,num_layers-3_dropout-0.2,0.9840,0.9837,0.9847,0.0004,0.9846,0.9820,0.9872,0.0020,0.9834,0.9818,0.9858,0.0016,0.9835,0.9819,0.9857,0.0015,0.9846,0.9820,0.9872,0.0020,0.9840,0.9837,0.9847,0.0004,4917.2000,4909,4929,7.8867,82.8000,71,91,7.8867,77.2000,64,90,9.7826,4922.8000,4910,4936,9.7826
mpnet,768,mlp,num_layers-3_dropout-0.3,0.9834,0.9828,0.9842,0.0006,0.9842,0.9820,0.9864,0.0018,0.9827,0.9820,0.9836,0.0006,0.9827,0.9821,0.9836,0.0006,0.9842,0.9820,0.9864,0.0018,0.9834,0.9828,0.9842,0.0006,4913.6000,4910,4918,3.0496,86.4000,82,90,3.0496,79.2000,68,90,9.0388,4920.8000,4910,4932,9.0388
mpnet,768,naive_bayes,none-e,0.9201,0.9201,0.9201,,0.9168,0.9168,0.9168,,0.9234,0.9234,0.9234,,0.9229,0.9229,0.9229,,0.9168,0.9168,0.9168,,0.9201,0.9201,0.9201,,4617.0000,4617,4617,,383.0000,383,383,,416.0000,416,416,,4584.0000,4584,4584,
mpnet,768,naive_bayes,none-n,0.9201,0.9201,0.9201,0.0000,0.9168,0.9168,0.9168,0.0000,0.9234,0.9234,0.9234,0.0000,0.9229,0.9229,0.9229,0.0000,0.9168,0.9168,0.9168,0.0000,0.9201,0.9201,0.9201,0.0000,4617.0000,4617,4617,0.0000,383.0000,383,383,0.0000,416.0000,416,416,0.0000,4584.0000,4584,4584,0.0000
mpnet,768,naive_bayes,none-o,0.9201,0.9201,0.9201,,0.9168,0.9168,0.9168,,0.9234,0.9234,0.9234,,0.9229,0.9229,0.9229,,0.9168,0.9168,0.9168,,0.9201,0.9201,0.9201,,4617.0000,4617,4617,,383.0000,383,383,,416.0000,416,416,,4584.0000,4584,4584,
mpnet,768,random_forest,n_estimators-100,0.9662,0.9644,0.9674,0.0012,0.9642,0.9600,0.9660,0.0024,0.9682,0.9648,0.9700,0.0020,0.9680,0.9648,0.9698,0.0019,0.9642,0.9600,0.9660,0.0024,0.9662,0.9644,0.9674,0.0012,4840.8000,4824,4850,10.0598,159.2000,150,176,10.0598,179.2000,170,200,11.8617,4820.8000,4800,4830,11.8617
mpnet,768,random_forest,n_estimators-200,0.9678,0.9669,0.9689,0.0007,0.9670,0.9652,0.9684,0.0012,0.9686,0.9678,0.9694,0.0006,0.9685,0.9678,0.9694,0.0006,0.9670,0.9652,0.9684,0.0012,0.9678,0.9669,0.9689,0.0007,4842.8000,4839,4847,2.8636,157.2000,153,161,2.8636,165.0000,158,174,5.7879,4835.0000,4826,4842,5.7879
mpnet,768,random_forest,n_estimators-80,0.9657,0.9647,0.9677,0.0012,0.9629,0.9606,0.9648,0.0019,0.9684,0.9658,0.9706,0.0018,0.9683,0.9658,0.9704,0.0017,0.9629,0.9606,0.9648,0.0019,0.9657,0.9647,0.9677,0.0012,4842.2000,4829,4853,8.7579,157.8000,147,171,8.7579,185.4000,176,197,9.2898,4814.6000,4803,4824,9.2898
mpnet,768,svm,kernel-linear,0.9796,0.9796,0.9796,,0.9814,0.9814,0.9814,,0.9778,0.9778,0.9778,,0.9779,0.9779,0.9779,,0.9814,0.9814,0.9814,,0.9796,0.9796,0.9796,,4889.0000,4889,4889,,111.0000,111,111,,93.0000,93,93,,4907.0000,4907,4907,
mpnet,768,svm,kernel-poly,0.9885,0.9885,0.9885,,0.9878,0.9878,0.9878,,0.9892,0.9892,0.9892,,0.9892,0.9892,0.9892,,0.9878,0.9878,0.9878,,0.9885,0.9885,0.9885,,4946.0000,4946,4946,,54.0000,54,54,,61.0000,61,61,,4939.0000,4939,4939,
mpnet,768,svm,kernel-rbf,0.9870,0.9870,0.9870,,0.9886,0.9886,0.9886,,0.9854,0.9854,0.9854,,0.9854,0.9854,0.9854,,0.9886,0.9886,0.9886,,0.9870,0.9870,0.9870,,4927.0000,4927,4927,,73.0000,73,73,,57.0000,57,57,,4943.0000,4943,4943,
mpnet,768,svm,kernel-sigmoid,0.9553,0.9553,0.9553,,0.9556,0.9556,0.9556,,0.9550,0.9550,0.9550,,0.9550,0.9550,0.9550,,0.9556,0.9556,0.9556,,0.9553,0.9553,0.9553,,4775.0000,4775,4775,,225.0000,225,225,,222.0000,222,222,,4778.0000,4778,4778,
mxbai,64,logistic_regression,max_iter-100,0.9305,0.9305,0.9305,,0.9340,0.9340,0.9340,,0.9270,0.9270,0.9270,,0.9275,0.9275,0.9275,,0.9340,0.9340,0.9340,,0.9305,0.9305,0.9305,,4635.0000,4635,4635,,365.0000,365,365,,330.0000,330,330,,4670.0000,4670,4670,
mxbai,64,logistic_regression,max_iter-50,0.9305,0.9305,0.9305,,0.9340,0.9340,0.9340,,0.9270,0.9270,0.9270,,0.9275,0.9275,0.9275,,0.9340,0.9340,0.9340,,0.9305,0.9305,0.9305,,4635.0000,4635,4635,,365.0000,365,365,,330.0000,330,330,,4670.0000,4670,4670,
mxbai,64,logistic_regression,max_iter-500,0.9305,0.9305,0.9305,,0.9340,0.9340,0.9340,,0.9270,0.9270,0.9270,,0.9275,0.9275,0.9275,,0.9340,0.9340,0.9340,,0.9305,0.9305,0.9305,,4635.0000,4635,4635,,365.0000,365,365,,330.0000,330,330,,4670.0000,4670,4670,
mxbai,64,mlp,num_layers-2_dropout-0.1,0.9423,0.9413,0.9433,0.0007,0.9474,0.9434,0.9504,0.0028,0.9371,0.9336,0.9392,0.0021,0.9378,0.9347,0.9395,0.0018,0.9474,0.9434,0.9504,0.0028,0.9422,0.9413,0.9433,0.0007,4685.6000,4668,4696,10.5972,314.4000,304,332,10.5972,263.0000,248,283,13.9463,4737.0000,4717,4752,13.9463
mxbai,64,mlp,num_layers-2_dropout-0.2,0.9418,0.9406,0.9438,0.0013,0.9473,0.9440,0.9502,0.0029,0.9362,0.9338,0.9374,0.0014,0.9369,0.9349,0.9382,0.0013,0.9473,0.9440,0.9502,0.0029,0.9418,0.9406,0.9438,0.0013,4681.2000,4669,4687,7.2250,318.8000,313,331,7.2250,263.4000,249,280,14.3631,4736.6000,4720,4751,14.3631
mxbai,64,mlp,num_layers-2_dropout-0.3,0.9411,0.9401,0.9427,0.0011,0.9472,0.9448,0.9498,0.0023,0.9349,0.9338,0.9360,0.0010,0.9357,0.9348,0.9367,0.0009,0.9472,0.9448,0.9498,0.0023,0.9410,0.9401,0.9427,0.0011,4674.4000,4669,4680,4.8785,325.6000,320,331,4.8785,263.8000,251,276,11.5845,4736.2000,4724,4749,11.5845
