embedding,embedding_size,regressor,hyperparams,seed,accuracy,tpr,tnr,precision,recall,g_mean,tn,fp,fn,tp
lml6,384,mlp,num_layers-2_dropout-0.1,84,0.9764,0.9812,0.9716,0.9719,0.9812,0.9764,4858,142,94,4906
lml6,384,mlp,num_layers-2_dropout-0.2,823,0.9761,0.9812,0.9710,0.9713,0.9812,0.9761,4855,145,94,4906
lml6,384,mlp,num_layers-2_dropout-0.2,950,0.9762,0.9826,0.9698,0.9702,0.9826,0.9762,4849,151,87,4913
lml6,384,mlp,num_layers-2_dropout-0.2,686,0.9763,0.9822,0.9704,0.9707,0.9822,0.9763,4852,148,89,4911
lml6,384,mlp,num_layers-2_dropout-0.2,319,0.9761,0.9838,0.9684,0.9689,0.9838,0.9761,4842,158,81,4919
lml6,384,mlp,num_layers-2_dropout-0.2,84,0.9765,0.9816,0.9714,0.9717,0.9816,0.9765,4857,143,92,4908
lml6,384,mlp,num_layers-2_dropout-0.3,823,0.9757,0.9810,0.9704,0.9707,0.9810,0.9757,4852,148,95,4905
lml6,384,mlp,num_layers-2_dropout-0.3,950,0.9754,0.9818,0.9690,0.9694,0.9818,0.9754,4845,155,91,4909
lml6,384,mlp,num_layers-2_dropout-0.3,686,0.9759,0.9816,0.9702,0.9705,0.9816,0.9759,4851,149,92,4908
lml6,384,mlp,num_layers-2_dropout-0.3,319,0.9757,0.9834,0.9680,0.9685,0.9834,0.9757,4840,160,83,4917
lml6,384,mlp,num_layers-2_dropout-0.3,84,0.9761,0.9812,0.9710,0.9713,0.9812,0.9761,4855,145,94,4906
lml6,384,mlp,num_layers-3_dropout-0.1,823,0.9820,0.9848,0.9792,0.9793,0.9848,0.9820,4896,104,76,4924
lml6,384,mlp,num_layers-3_dropout-0.1,950,0.9822,0.9864,0.9780,0.9782,0.9864,0.9822,4890,110,68,4932
lml6,384,mlp,num_layers-3_dropout-0.1,686,0.9831,0.9862,0.9800,0.9801,0.9862,0.9831,4900,100,69,4931
lml6,384,mlp,num_layers-3_dropout-0.1,319,0.9812,0.9874,0.9750,0.9753,0.9874,0.9812,4875,125,63,4937
lml6,384,mlp,num_layers-3_dropout-0.1,84,0.9815,0.9840,0.9790,0.9791,0.9840,0.9815,4895,105,80,4920
lml6,384,mlp,num_layers-3_dropout-0.2,823,0.9819,0.9854,0.9784,0.9786,0.9854,0.9819,4892,108,73,4927
lml6,384,mlp,num_layers-3_dropout-0.2,950,0.9825,0.9860,0.9790,0.9791,0.9860,0.9825,4895,105,70,4930
lml6,384,mlp,num_layers-3_dropout-0.2,686,0.9827,0.9874,0.9780,0.9782,0.9874,0.9827,4890,110,63,4937
lml6,384,mlp,num_layers-3_dropout-0.2,319,0.9797,0.9866,0.9728,0.9732,0.9866,0.9797,4864,136,67,4933
lml6,384,mlp,num_layers-3_dropout-0.2,84,0.9810,0.9858,0.9762,0.9764,0.9858,0.9810,4881,119,71,4929
lml6,384,mlp,num_layers-3_dropout-0.3,823,0.9806,0.9846,0.9766,0.9768,0.9846,0.9806,4883,117,77,4923
lml6,384,mlp,num_layers-3_dropout-0.3,950,0.9819,0.9848,0.9790,0.9791,0.9848,0.9819,4895,105,76,4924
lml6,384,mlp,num_layers-3_dropout-0.3,686,0.9816,0.9866,0.9766,0.9768,0.9866,0.9816,4883,117,67,4933
lml6,384,mlp,num_layers-3_dropout-0.3,319,0.9794,0.9858,0.9730,0.9733,0.9858,0.9794,4865,135,71,4929
lml6,384,mlp,num_layers-3_dropout-0.3,84,0.9804,0.9852,0.9756,0.9758,0.9852,0.9804,4878,122,74,4926
mpnet,768,svm,kernel-linear,823,0.9796,0.9814,0.9778,0.9779,0.9814,0.9796,4889,111,93,4907
mpnet,768,svm,kernel-poly,823,0.9885,0.9878,0.9892,0.9892,0.9878,0.9885,4946,54,61,4939
mpnet,768,svm,kernel-rbf,823,0.9870,0.9886,0.9854,0.9854,0.9886,0.9870,4927,73,57,4943
mpnet,768,svm,kernel-sigmoid,823,0.9553,0.9556,0.9550,0.9550,0.9556,0.9553,4775,225,222,4778
mpnet,768,logistic_regression,max_iter-50,823,0.9731,0.9760,0.9702,0.9704,0.9760,0.9731,4851,149,120,4880
mpnet,768,logistic_regression,max_iter-100,823,0.9731,0.9760,0.9702,0.9704,0.9760,0.9731,4851,149,120,4880
mpnet,768,logistic_regression,max_iter-500,823,0.9731,0.9760,0.9702,0.9704,0.9760,0.9731,4851,149,120,4880
mpnet,768,random_forest,n_estimators-80,823,0.9647,0.9606,0.9688,0.9685,0.9606,0.9647,4844,156,197,4803
mpnet,768,random_forest,n_estimators-80,950,0.9658,0.9626,0.9690,0.9688,0.9626,0.9658,4845,155,187,4813
mpnet,768,random_forest,n_estimators-80,686,0.9649,0.9618,0.9680,0.9678,0.9618,0.9649,4840,160,191,4809
mpnet,768,random_forest,n_estimators-80,319,0.9677,0.9648,0.9706,0.9704,0.9648,0.9677,4853,147,176,4824
mpnet,768,random_forest,n_estimators-80,84,0.9653,0.9648,0.9658,0.9658,0.9648,0.9653,4829,171,176,4824
mpnet,768,random_forest,n_estimators-100,823,0.9644,0.9600,0.9688,0.9685,0.9600,0.9644,4844,156,200,4800
mpnet,768,random_forest,n_estimators-100,950,0.9665,0.9650,0.9680,0.9679,0.9650,0.9665,4840,160,175,4825
mpnet,768,random_forest,n_estimators-100,686,0.9674,0.9648,0.9700,0.9698,0.9648,0.9674,4850,150,176,4824
mpnet,768,random_forest,n_estimators-100,319,0.9671,0.9650,0.9692,0.9691,0.9650,0.9671,4846,154,175,4825
mpnet,768,random_forest,n_estimators-100,84,0.9654,0.9660,0.9648,0.9648,0.9660,0.9654,4824,176,170,4830
mpnet,768,random_forest,n_estimators-200,823,0.9669,0.9652,0.9686,0.9685,0.9652,0.9669,4843,157,174,4826
mpnet,768,random_forest,n_estimators-200,950,0.9679,0.9674,0.9684,0.9684,0.9674,0.9679,4842,158,163,4837
mpnet,768,random_forest,n_estimators-200,686,0.9674,0.9670,0.9678,0.9678,0.9670,0.9674,4839,161,165,4835
mpnet,768,random_forest,n_estimators-200,319,0.9689,0.9684,0.9694,0.9694,0.9684,0.9689,4847,153,158,4842
mpnet,768,random_forest,n_estimators-200,84,0.9678,0.9670,0.9686,0.9685,0.9670,0.9678,4843,157,165,4835
mpnet,768,naive_bayes,none-n,823,0.9201,0.9168,0.9234,0.9229,0.9168,0.9201,4617,383,416,4584
mpnet,768,naive_bayes,none-o,823,0.9201,0.9168,0.9234,0.9229,0.9168,0.9201,4617,383,416,4584
mpnet,768,naive_bayes,none-n,823,0.9201,0.9168,0.9234,0.9229,0.9168,0.9201,4617,383,416,4584
mpnet,768,naive_bayes,none-e,823,0.9201,0.9168,0.9234,0.9229,0.9168,0.9201,4617,383,416,4584
mpnet,768,mlp,num_layers-2_dropout-0.1,823,0.9784,0.9790,0.9778,0.9778,0.9790,0.9784,4889,111,105,4895
mpnet,768,mlp,num_layers-2_dropout-0.1,950,0.9788,0.9780,0.9796,0.9796,0.9780,0.9788,4898,102,110,4890
mpnet,768,mlp,num_layers-2_dropout-0.1,686,0.9791,0.9790,0.9792,0.9792,0.9790,0.9791,4896,104,105,4895
mpnet,768,mlp,num_layers-2_dropout-0.1,319,0.9783,0.9764,0.9802,0.9801,0.9764,0.9783,4901,99,118,4882
mpnet,768,mlp,num_layers-2_dropout-0.1,84,0.9782,0.9796,0.9768,0.9769,0.9796,0.9782,4884,116,102,4898
mpnet,768,mlp,num_layers-2_dropout-0.2,823,0.9791,0.9796,0.9786,0.9786,0.9796,0.9791,4893,107,102,4898
mpnet,768,mlp,num_layers-2_dropout-0.2,950,0.9783,0.9784,0.9782,0.9782,0.9784,0.9783,4891,109,108,4892
mpnet,768,mlp,num_layers-2_dropout-0.2,686,0.9785,0.9782,0.9788,0.9788,0.9782,0.9785,4894,106,109,4891
mpnet,768,mlp,num_layers-2_dropout-0.2,319,0.9783,0.9766,0.9800,0.9799,0.9766,0.9783,4900,100,117,4883
mpnet,768,mlp,num_layers-2_dropout-0.2,84,0.9780,0.9790,0.9770,0.9770,0.9790,0.9780,4885,115,105,4895
mpnet,768,mlp,num_layers-2_dropout-0.3,823,0.9786,0.9786,0.9786,0.9786,0.9786,0.9786,4893,107,107,4893
mpnet,768,mlp,num_layers-2_dropout-0.3,950,0.9786,0.9790,0.9782,0.9782,0.9790,0.9786,4891,109,105,4895
mpnet,768,mlp,num_layers-2_dropout-0.3,686,0.9778,0.9784,0.9772,0.9772,0.9784,0.9778,4886,114,108,4892
mpnet,768,mlp,num_layers-2_dropout-0.3,319,0.9782,0.9770,0.9794,0.9794,0.9770,0.9782,4897,103,115,4885
mpnet,768,mlp,num_layers-2_dropout-0.3,84,0.9773,0.9792,0.9754,0.9755,0.9792,0.9773,4877,123,104,4896
mpnet,768,mlp,num_layers-3_dropout-0.1,823,0.9837,0.9858,0.9816,0.9817,0.9858,0.9837,4908,92,71,4929
