model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
nomic128,6,92.7,93.52,93.11,93.11,92.32,93.52,92.92,92.92,-0.2,-0.2
nomic128,7,94.5,94.4,94.45,94.45,93.36,94.4,93.88,93.88,-0.6,-0.6
nomic128,8,95.66,95.08,95.37,95.37,94.3,95.08,94.69,94.69,-0.71,-0.71
nomic128,9,95.22,95.14,95.18,95.18,93.44,95.14,94.29,94.29,-0.94,-0.94
nomic128,10,95.44,94.9,95.17,95.17,93.98,94.9,94.44,94.44,-0.77,-0.77
nomic128,20,96.62,96.72,96.67,96.67,95.54,96.72,96.13,96.13,-0.56,-0.56
nomic128,30,95.86,97.3,96.58,96.58,94.36,97.3,95.83,95.82,-0.78,-0.79
nomic128,40,96.02,97.34,96.68,96.68,94.4,97.34,95.87,95.86,-0.84,-0.85
nomic128,50,96.46,97.78,97.12,97.12,94.44,97.78,96.11,96.1,-1.04,-1.05
nomic128,60,96.4,97.6,97.0,97.0,95.22,97.6,96.41,96.4,-0.61,-0.62
nomic128,70,96.52,97.74,97.13,97.13,95.32,97.74,96.53,96.52,-0.62,-0.63
nomic128,80,97.08,97.82,97.45,97.45,95.9,97.82,96.86,96.86,-0.61,-0.61
nomic128,90,97.1,97.96,97.53,97.53,96.18,97.96,97.07,97.07,-0.47,-0.47
nomic128,100,96.94,98.06,97.5,97.5,95.96,98.06,97.01,97.0,-0.5,-0.51
nomic128,125,97.38,97.96,97.67,97.67,96.08,97.96,97.02,97.02,-0.67,-0.67
nomic128,150,97.66,98.12,97.89,97.89,96.16,98.12,97.14,97.14,-0.77,-0.77
nomic128,175,97.84,98.04,97.94,97.94,96.38,98.04,97.21,97.21,-0.75,-0.75
nomic128,200,97.84,98.1,97.97,97.97,96.92,98.1,97.51,97.51,-0.47,-0.47
nomic128,250,97.8,97.9,97.85,97.85,96.5,97.9,97.2,97.2,-0.66,-0.66
nomic128,500,98.3,98.12,98.21,98.21,96.52,98.12,97.32,97.32,-0.91,-0.91
nomic128,1000,98.52,98.32,98.42,98.42,96.8,98.32,97.56,97.56,-0.87,-0.87
nomic128,2000,98.56,98.28,98.42,98.42,96.74,98.28,97.51,97.51,-0.92,-0.92
nomic128,5000,97.8,98.74,98.27,98.27,96.0,98.74,97.37,97.36,-0.92,-0.93
nomic256,2,95.5,93.12,94.31,94.3,94.64,93.12,93.88,93.88,-0.46,-0.45
nomic256,3,94.68,91.92,93.3,93.29,92.18,91.92,92.05,92.05,-1.34,-1.33
nomic256,4,92.72,95.68,94.2,94.19,89.96,95.68,92.82,92.78,-1.46,-1.5
nomic256,5,93.06,95.88,94.47,94.46,92.4,95.88,94.14,94.12,-0.35,-0.36
nomic256,6,94.28,95.2,94.74,94.74,93.2,95.2,94.2,94.19,-0.57,-0.58
nomic256,7,94.76,94.64,94.7,94.7,92.78,94.64,93.71,93.71,-1.05,-1.05
nomic256,8,95.06,95.7,95.38,95.38,92.84,95.7,94.27,94.26,-1.16,-1.17
nomic256,9,95.32,96.04,95.68,95.68,92.72,96.04,94.38,94.37,-1.36,-1.37
nomic256,10,96.64,95.88,96.26,96.26,94.66,95.88,95.27,95.27,-1.03,-1.03
nomic256,20,96.76,97.02,96.89,96.89,95.48,97.02,96.25,96.25,-0.66,-0.66
